date,clone_count,clone_uniques
2025-10-25,1,1
2025-10-28,1,1
2025-10-30,3,2
2025-11-01,1,1
2025-11-04,1,1
2025-11-05,63,36
2025-10-28,1,1
2025-10-30,3,2
2025-11-01,1,1
2025-11-04,1,1
2025-11-05,63,36
2025-11-06,9,7
2025-11-10,1,1
2025-11-04,1,1
2025-11-05,63,36
2025-11-06,9,7
2025-11-10,6,5
2025-11-11,2,2
2025-11-15,6,1
2025-11-16,1,1
2025-11-10,5,5
2025-11-11,2,2
2025-11-15,6,1
2025-11-16,1,1
2025-11-17,6,6
2025-11-19,1,1
2025-11-23,2,2
2025-11-19,1,1
2025-11-23,2,2
2025-11-24,3,3
2025-11-26,1,1
2025-11-30,1,1
2025-11-26,1,1
2025-11-30,1,1
2025-12-01,7,5
2025-12-03,26,14
2025-12-04,1,1
2025-12-06,3,3
2025-12-01,4,2
2025-12-03,26,14
2025-12-04,1,1
2025-12-06,3,3
2025-12-08,6,6
2025-12-09,1,1
2025-12-10,23,17
2025-12-11,2,2
2025-12-12,1,1
2025-12-14,1,1
2025-12-08,1,1
2025-12-09,1,1
2025-12-10,23,17
2025-12-11,2,2
2025-12-12,1,1
2025-12-14,1,1
2025-12-15,8,8
2025-12-16,4,4
2025-12-17,1,1
2025-12-18,1,1
